bottles temp pres psal cond
211013.0 3.8114228 2030.7823632250002 34.92063691875 33.194856225
211014.0 3.924814805882353 1929.1134553882353 34.924996158823525 33.25881167058824
211015.0 4.0196153 1826.8060666769231 34.931081946153846 33.30720564615385
211016.0 4.481627047058824 1623.6035603764706 34.97406058235294 33.6750438
211017.0 5.3350853166666665 1419.6466668250002 35.078923825 34.453266475
211019.0 9.3503185 1013.4448806411764 35.50661451764705 38.41334154705882
211020.0 10.835052333333332 709.1731074933334 35.44049808 39.63807130666667
211021.0 11.6618169 506.3404052416666 35.51929383333333 40.4279185
211022.0 12.582684784615385 305.7980664230769 35.65953394615384 41.38196379230769
211023.0 13.193987400000001 103.87413957058823 35.77825475294118 42.01728084117647
