bottles temp pres psal cond
211059.0 3.80200911875 2031.0271503625002 34.9218830375 33.1876196875
211060.0 3.907791318181818 1929.358451690909 34.92582551818182 33.24441628181818
211061.0 4.182989316666666 1726.8069047000001 34.944127658333336 33.42372176666667
211062.0 4.759960654545455 1523.4119897727273 35.00871040909091 33.914249872727275
211063.0 5.90890239 1368.84702324 35.16258684 35.02970962
211064.0 8.63792995 1116.39901875 35.49708665 37.77213553
211065.0 9.830071006666666 913.5507872266667 35.47475662 38.79687948
211066.0 10.7522411 709.0528719199999 35.433928460000004 39.55176554
211067.0 11.59117785 507.93908425 35.512413099999996 40.353052250000005
211068.0 13.167100206666667 203.98452771333334 35.76995475333333 42.027238946666664
211069.0 13.242133675 55.07607563333334 35.7789925 42.04352430833333
